Document Date,Object type,Object,Cost Element,Document Number,Val/COArea Crcy,CO area currency,Value TranCurr,Transaction Currency,Purchasing Document,Purchase order text,Project Definition,WBS Element,Partner object,Partner object type,Posting Date,Created on,User Name,Reversal document,Ref.document type,Ref Document Number,Document type,Value Type,Name,Trading Partner,Functional Area,CO object name,Object type,Partner object type,Cost element name,Cost element descr.,Offsetting acct no.,Offsetting account type,Total Quantity,Total quantity,Personnel Number,Name of employee or applicant,Description,Business Transaction,Document Header Text,Ref. company code,Original bus. trans,Item,Business Area,Company Code,Partner Object Class,FI Posting Item,CO partner object name,Partner-CCtr,Source Object,Source object name,Origin-obj. type,Source object type,Name of offsetting account,Name of offsetting account,Material Description,Material
4/21/2020,NWA,N136176W-02 2000,92771016,923728423,47,USD,47,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,4/20/2020,4/21/2020,MCKINLDJ,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,513106,Dodds Terry,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
4/21/2020,WBS,136176W,98793067,602294020,-47,USD,0,USD,,,136176,136176W,52841993,PSG,4/30/2020,4/21/2020,MCKINLDJ,,R,7901093,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
4/20/2020,WBS,136176W,98793067,602293912,-141,USD,0,USD,,,136176,136176W,52841993,PSG,4/30/2020,4/20/2020,MCKINLDJ,,R,7900673,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
4/14/2020,NWA,N136176W-02 2000,92771016,923704022,47,USD,47,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,4/14/2020,4/14/2020,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,513106,Dodds Terry,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
3/31/2020,NWA,N136176W-02 2000,92771016,923635613,94,USD,94,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,3/31/2020,3/31/2020,GS3_USER,,R,37659751,,4,PLC issues,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,1.00,1.00,2773,Mcburnett Diane,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
3/27/2020,WBS,136176W,98793067,602279529,"11,316.87",USD,0,USD,,,136176,136176W,52841993,PSG,3/31/2020,3/27/2020,MCKINLDJ,,R,7875188,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
3/24/2020,NWA,N136176W-03 3000,92771016,923569841,47,USD,47,USD,,,136176,136176W-12-03,463120/PERS4,ATY,3/24/2020,3/24/2020,GS3_USER,,R,37659738,,4,PLC-AB,,7010,Integrated (WCS),Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,1000206,Hopman Zachary,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
3/24/2020,NWA,N136176W-06 6000,92771016,923569842,47,USD,47,USD,,,136176,136176W-12-06-06,463120/PERS4,ATY,3/24/2020,3/24/2020,GS3_USER,,R,37659782,,4,PLC-AB,,7010,Mechanical Installation Labor PERM,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,0.50,0.50,2215,Wood Edwin,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
3/1/2020,WBS,136176W,98793067,602272027,0,USD,0,USD,,,136176,136176W,52841993,PSG,2/29/2020,3/1/2020,BTC_USER,,R,7857631,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
2/28/2020,NWA,N136176W-02 2000,92771016,923421678,94,USD,94,USD,,,136176,136176W-12-01-02,463120/PERS4,ATY,2/28/2020,2/28/2020,GS3_USER,,R,37659751,,4,PLC-AB,,7010,Controls PS Engineering Labor General,Network activity,Activity type,Labor - DI Service,Labor - DI Service,,,1.00,1.00,2215,Wood Edwin,"AutoZone - Ocala, FL",RKL,,,RMRU,0,5000,GR01,Overhead,0,CS - Tech Supp Desk / Labor DI,463120,463120/PERS4,CS - Tech Supp Desk / Labor DI,ATY,Activity type,,,,
2/22/2020,WBS,136176W,98793067,602267469,0,USD,0,USD,,,136176,136176W,52841993,PSG,2/29/2020,2/22/2020,BTC_USER,,R,7849971,,4,,,7010,PS Project Warranty,WBS element,Profitability segmnt,WAR-settle plan cost,WAR - Settlement of planned costs,,,0.00,0.00,0,,"AutoZone - Ocala, FL",KOAO,,,,0,5000,GR01,Profit analysis,0,,,,,,,,,,
